Week,Day,Date,home,away,home_score,away_score,away_spread,away_rush_att,away_rush_yds,away_rush_tds,home_rush_att,home_rush_yds,home_rush_tds,away_pass_cmp,away_pass_att,away_pass_yds,away_pass_tds,away_pass_ints,home_pass_cmp,home_pass_att,home_pass_yds,home_pass_tds,home_pass_ints,away_sacks,away_sack_yds,home_sacks,home_sack_yds,home_penalty,home_penalty_yds,away_penalty,away_penalty_yds
15,Thu,2022-12-15,seahawks,49ers,13,21,-3.0,34,170,1,14,70,0,17,26,217,2,0,31,44,238,1,0,1,6,3,31,8,79,7,60
15,Sat,2022-12-17,vikings,colts,39,36,-3.5,43,171,0,24,92,1,19,33,182,1,0,34,55,460,4,2,3,12,7,34,9,74,11,103
15,Sat,2022-12-17,browns,ravens,13,3,-3.0,28,198,0,33,143,0,17,30,138,0,1,18,28,161,1,0,3,12,3,21,3,32,3,25
15,Sat,2022-12-17,bills,dolphins,32,29,-7.0,25,188,1,29,150,0,17,30,234,2,0,25,40,304,4,0,2,17,2,8,7,51,8,51
15,Sun,2022-12-18,saints,falcons,21,18,-4.0,39,231,2,34,134,0,13,26,97,0,0,13,19,231,3,0,4,8,2,17,6,46,3,30
15,Sun,2022-12-18,panthers,steelers,16,24,-2.5,45,156,3,16,21,0,17,22,179,0,0,14,23,225,1,0,1,10,4,37,5,40,7,81
15,Sun,2022-12-18,bears,eagles,20,25,-8.5,33,112,3,30,157,1,22,37,315,0,2,14,22,152,2,0,1,6,6,61,6,30,2,25
15,Sun,2022-12-18,jaguars,cowboys,40,34,-4.0,41,154,1,27,192,0,23,30,256,3,2,27,42,318,4,1,3,13,1,7,4,37,2,18
15,Sun,2022-12-18,jets,lions,17,20,-1.0,28,107,0,22,50,0,23,38,252,1,0,18,35,317,2,1,0,0,4,30,2,20,6,52
15,Sun,2022-12-18,texans,chiefs,24,30,-14.5,33,189,2,28,94,1,36,41,336,2,0,14,29,129,2,0,2,23,1,4,4,33,10,102
15,Sun,2022-12-18,commanders,giants,12,20,-4.5,30,128,1,26,159,0,21,32,160,0,0,17,29,249,1,0,0,0,3,21,6,40,5,30
15,Sun,2022-12-18,broncos,cardinals,24,15,-1.5,20,73,1,34,168,2,20,36,173,0,3,21,26,197,1,1,3,6,7,41,4,31,7,46
15,Sun,2022-12-18,buccaneers,bengals,23,34,-3.5,21,53,0,25,92,0,27,39,200,4,1,30,44,312,3,2,2,16,1,8,7,58,4,27
15,Sun,2022-12-18,chargers,titans,17,14,-3.0,27,127,2,24,74,2,18,26,185,0,1,28,42,313,0,2,4,28,3,22,3,20,6,62
15,Sun,2022-12-18,raiders,patriots,30,24,-1.5,32,206,1,23,97,0,13,31,112,0,0,20,38,231,3,1,0,0,3,20,13,90,6,30
15,Mon,2022-12-19,packers,rams,24,12,-7.0,17,72,0,35,138,2,12,21,111,1,1,22,30,229,1,1,5,27,3,22,4,80,8,76
