team,timestamp,tweet_text,userid
saints,2022-11-28 21:20:29+00:00,b'A new episode of @BleavSaints presented by @betonline_ag is live now!  #saints #nfl #whodat   BLEAV: https://t.co/hZBuNZXTtu Apple: https://t.co/5zna6A41XU Spotify: https://t.co/umo7gS50fa https://t.co/5dWsXfDPRX',19979309
saints,2022-11-28 21:19:02+00:00,b'can\xe2\x80\x99t stop fumbling    https://t.co/jgtkvGHm9h   #Football #Louisiana #NationalFootballConference #NationalFootballConferenceSouthDivision #NationalFootballLeague #NewOrleans #NewOrleansSaints #NFL #Saints https://t.co/dqiihjPc8y',1073812246537609216
saints,2022-11-28 21:17:02+00:00,b'NFL Power Rankings Week 13: Where 49ers stand after win vs. Saints #NewOrleansSaints #Saints #Nola #SaintsNation #SaintsFootball #yahoo https://t.co/CNhjBgmVGO',3037028250
saints,2022-11-28 21:16:36+00:00,b'Saints: Watch Live: Dennis Allen  #Saints | @Verizon  https://t.co/DBRvsvZ58u',2443103215
saints,2022-11-28 21:13:02+00:00,"b'The more Dennis Allen talks the more I\xe2\x80\x99m like how in the world did Mickey Loomis sit in a 5+ hour interview with him.  And how in the world did Allen convince Loomis that he was the guy?  Some serious mistakes have been made with this hire, and the #Saints are collapsing fast.'",1445049359029002243
saints,2022-11-28 21:12:15+00:00,b'\xe2\x80\x9cWe are going to go out and compete our asses off for 5 games and see what happens.\xe2\x80\x9d #Saints coach Dennis Allen',17389811
saints,2022-11-28 21:11:34+00:00,b'\xe2\x80\x9cThrough thick &amp; thin\xe2\x80\x9d jus gotta stay down loyalty at its finest \xf0\x9f\x96\xa4 #Saints https://t.co/AfoNKJ8X78',1545165137258086400
saints,2022-11-28 21:10:25+00:00,b'Tim Cook and #Saints coach Dennis Allen are the same person   (Apple has a better winning streak though)  https://t.co/ZGBKfpvzwa',20966075
saints,2022-11-28 21:06:43+00:00,b'I\xe2\x80\x99m about to take this #Saints app off my phone \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f',1465344452067790849
saints,2022-11-28 21:06:02+00:00,"b'Rams takeaways: Bryce Perkins, young receivers make best of chances against Chiefs #NewOrleansSaints #Saints #Nola #SaintsNation #SaintsFootball #yahoo https://t.co/3p38uu9UBI'",3037028250
saints,2022-11-28 21:06:00+00:00,"b'Kind of obvious, but Dennis Allen says Marshon Lattimore\xe2\x80\x99s availability for Week 13 will be contingent on what he\xe2\x80\x99s able to do/how he looks in practice throughout the week. #Saints'",1686812502
saints,2022-11-28 21:05:43+00:00,b'#Saints will see how CB Marshon Lattimore is once they get into their practice this week and determine if he\xe2\x80\x99s able to go Monday. Practicing last week was first step on getting him back on the field.',119937743
saints,2022-11-28 21:04:31+00:00,"b'Dennis Allen says he\xe2\x80\x99s not happy with where they are at and thinks there is a better football team in there, but your record is what it is #Saints'",119937743
saints,2022-11-28 21:03:39+00:00,"b'Allen: You have to put yourself in positive situations and when you do, you have to execute #Saints'",119937743
saints,2022-11-28 21:01:16+00:00,b'Allen says penalties and turnovers is a combination of both players and coaches having to do better in those areas #Saints',119937743
saints,2022-11-28 21:00:00+00:00,"b'Shop #Saints Frames, Puzzles, Prints, Phones Cases, Towels and more @ &gt;&gt; https://t.co/lp4ybI3RKu &lt;&lt; #NFL #NFLTop100 #NFLTwitter #nfluk #NFLPreseason #NOLA #NewOrleans #NewOrleansSaints #SaintsCamp #SaintsRow'",313722443
saints,2022-11-28 20:59:30+00:00,"b'#Saints Dennis Allen \xe2\x80\x9cWe got 5 games left, still a lot of football to be played. We\xe2\x80\x99re gonna go back to work and get ready for Tampa.\xe2\x80\x9d'",119937743
saints,2022-11-28 20:58:43+00:00,b'Watch Live: Dennis Allen  #Saints | @Verizon  https://t.co/Gv9LNqLZvx',31504542
saints,2022-11-28 20:55:06+00:00,"b""49ers' defense posts jaw-dropping stats in historic shutout vs. Saints #NewOrleansSaints #Saints #Nola #SaintsNation #SaintsFootball #yahoo https://t.co/fZrgHux0v7""",3037028250
saints,2022-11-28 20:53:51+00:00,"b'Still marveling over this tidbit:  The last time the #Saints were shut out was the end of  2001 season, Jan 6, 2002, and it was 38-0 vs. the #49ers. It was the longest active scoring streak at 332 games (21 years). It was also the fourth-longest scoring streak in NFL history.'",517181332
