,week,day,date,home/away,opponent,score_team,score_opp,pass_cmp_off,pass_att_off,pass_yds_off,pass_tds_off,ints_off,sacks_off,sacks_yds_off,pass_yds_per_att,pass_net_yds_per_att,pass_cmp_prcnt,pass_qb_rate,rush_att_off,rush_yds_off,rush_yds_per_att,rush_tds_off,fg_made,fg_att,3d_made,3d_att,4d_made,4d_att,time_poss,wk,record,1st_down_off,turnover_off,1st_down_def,tot_yds_def,pass_yds_def,rush_yds_def,turnover_def,exp_off,exp_def,exp_st,team
0,1,Sun,September 11,away,cardinals,44,21,30,39,360,5,0,0,0,9.2,9.2,76.9,144.2,27,128,4.7,1,1,1,5,8,1,1,34:42,1,1-0,33,1.0,18,282,179,103,,33.41,-2.29,-6.88,chiefs
1,2,Thu,September 15,home,chargers,27,24,24,35,226,2,0,1,9,6.7,6.3,68.6,105.2,18,93,5.2,0,2,2,4,12,0,0,26:23,2,2-0,15,,21,401,326,75,1.0,5.54,-4.12,3.72,chiefs
2,3,Sun,September 25,away,colts,17,20,20,36,257,1,1,1,5,7.3,6.9,55.6,75.8,23,58,2.5,1,1,2,3,10,1,2,26:28,3,2-1,20,2.0,19,259,177,82,1.0,1.78,7.1,-13.31,chiefs
3,4,Sun,October 2,away,buccaneers,41,31,23,37,228,3,1,3,21,6.7,5.7,62.2,95.3,37,189,5.1,2,2,2,12,17,0,1,38:38,4,3-1,27,1.0,27,376,373,3,2.0,17.12,-14.15,5.33,chiefs
4,5,Mon,October 10,home,raiders,30,29,29,43,265,4,0,3,27,6.8,5.8,67.4,115.0,23,103,4.5,0,1,2,7,12,0,0,31:07,5,4-1,29,,18,378,223,155,,14.21,-11.65,0.35,chiefs
5,6,Sun,October 16,home,bills,20,24,25,40,319,2,2,3,19,8.5,7.4,62.5,83.2,18,68,3.8,0,2,3,4,11,1,1,28:32,6,4-2,23,2.0,26,443,318,125,1.0,6.45,-11.13,-0.56,chiefs
6,7,Sun,October 23,away,49ers,44,23,25,36,417,3,1,1,6,11.8,11.3,69.4,124.4,21,112,5.3,3,0,1,6,9,0,0,26:15,7,5-2,24,2.0,25,444,343,101,3.0,30.58,-3.59,-8.5,chiefs
7,9,Sun,November 6,home,titans,20,17,43,68,422,1,1,4,24,6.6,5.9,63.2,79.4,19,77,4.1,1,2,3,8,19,2,2,41:28,9,6-2,29,1.0,9,229,57,172,,5.59,3.85,-5.59,chiefs
8,10,Sun,November 13,home,jaguars,27,17,26,35,331,4,1,0,0,9.5,9.5,74.3,129.6,27,155,5.7,0,0,0,7,10,1,1,30:32,10,7-2,26,3.0,17,315,240,75,,23.27,-3.86,-7.32,chiefs
9,11,Sun,November 20,away,chargers,30,27,20,34,322,3,0,1,7,9.7,9.2,58.8,120.0,27,163,6.0,0,3,3,5,10,0,0,27:41,11,8-2,23,1.0,22,365,250,115,2.0,19.64,-8.61,-2.61,chiefs
10,12,Sun,November 27,home,rams,26,10,27,42,320,1,1,0,0,7.6,7.6,64.3,85.4,30,117,3.9,1,4,4,5,11,0,0,32:26,12,9-2,29,2.0,13,198,82,116,2.0,13.96,9.01,-8.76,chiefs
11,13,Sun,December 4,away,bengals,24,27,16,27,211,1,0,2,12,8.3,7.3,59.3,96.4,25,138,5.5,2,1,2,6,11,2,2,27:54,13,9-3,20,1.0,26,431,279,152,,16.21,-19.79,-1.75,chiefs
12,14,Sun,December 11,away,broncos,34,28,28,42,342,3,3,2,10,8.4,7.8,66.7,85.6,23,89,3.9,0,2,2,6,12,0,0,30:13,14,10-3,20,3.0,17,320,214,106,2.0,7.21,0.63,-0.09,chiefs
13,15,Sun,December 18,away,texans,30,24,36,41,313,2,0,2,23,8.2,7.3,87.8,114.7,33,189,5.7,2,1,2,6,12,0,0,37:22,15,11-3,33,2.0,18,219,125,94,1.0,13.62,-2.21,-6.34,chiefs
14,16,Sat,December 24,home,seahawks,24,10,16,28,220,2,0,1,4,8.0,7.6,57.1,106.2,22,77,3.5,1,1,1,3,11,0,1,24:58,16,12-3,14,,19,333,200,133,1.0,3.1,11.64,-2.23,chiefs
15,17,Sun,January 1,home,broncos,27,24,29,42,328,3,1,0,0,7.8,7.8,69.0,106.1,16,46,2.9,1,0,1,2,9,1,1,26:54,17,13-3,22,2.0,21,307,190,117,2.0,10.69,2.92,-6.78,chiefs
16,18,Sat,January 7,away,raiders,31,13,18,26,181,1,0,2,21,7.8,6.5,69.2,101.6,28,168,6.0,3,1,1,5,9,0,0,25:47,18,14-3,21,,21,279,180,99,2.0,16.83,5.67,-1.37,chiefs
